,player_name,shot_outcome_name,gk_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
58,Luka Milivojević,Goal,Bernd Leno,74.5,118.3359375,25,104.0625,49.75,72.94921875,47.5,75.1640625,58.75,100.0898438,74.5,122.8359375,49.75,72.94921875,58.75,50.58984375,58.75,50.58984375,65.5,23.6953125,31.75,63.66796875,36.25,54.73828125,49.75,50.44921875,67.75,50.73046875,85.75,64.51171875,101.5,85.0078125
59,Mark Noble,Goal,Wayne Hennessey,60.125,125.4550781,69.875,96.35742188,84.5,86.8359375,82.0625,89.23535156,55.25,101.0039063,55.25,122.9414063,84.5,84.3984375,74.75,42.80859375,69.875,37.85742188,57.6875,15.72949219,79.625,69.69726563,86.9375,67.37402344,86.9375,42.99902344,62.5625,42.61816406,55.25,64.44140625,45.5,81.3515625
60,José Luis Sanmartín Mato,Saved,Nick Pope,127.1875,145.9873047,151.25,111.9882813,113.4375,87.33496094,127.1875,87.54980469,89.375,97.27148438,68.75,131.3242188,120.3125,87.44238281,144.375,53.44335938,147.8125,43.18457031,165,19.390625,123.75,73.74609375,165,81.265625,165,53.765625,127.1875,49.73730469,110,63.21875,106.5625,76.91503906
61,Gabriel Fernando de Jesus,Post,Hugo Lloris,201.78125,493.059082,81.9375,380.5615234,155.6875,280.3076172,238.65625,281.6040039,330.84375,412.1069336,395.375,477.6464844,201.78125,281.027832,155.6875,142.0263672,146.46875,132.6635742,118.8125,30.82519531,54.28125,269.5043945,54.28125,223.4106445,63.5,140.5859375,229.4375,133.9599609,321.625,199.9316406,395.375,320.9277344
62,Eden Hazard,Goal,Neil Leonard Dula Etheridge,32.25,123.1289063,61.8125,104.7783203,96.75,83.82421875,75.25,86.17578125,88.6875,115.9482422,88.6875,148.1982422,80.625,83.57226563,75.25,35.11328125,72.5625,27.00878906,72.5625,2.821289063,64.5,75.2578125,43,58.796875,56.4375,40.19433594,94.0625,30.03222656,104.8125,57.07519531,115.5625,51.86816406
63,Mark Noble,Goal,Vicente Guaita Panadero,30.375,122.5683594,65.8125,85.15332031,81,65.140625,93.65625,65.33837891,113.90625,78.31103516,116.4375,111.2568359,86.0625,65.21972656,103.78125,42.71533203,103.78125,40.18408203,116.4375,22.66308594,70.875,62.45117188,75.9375,49.87402344,91.125,37.45507813,113.90625,42.87353516,111.375,60.55273438,106.3125,78.19238281
64,Harry Kane,Goal,Bernd Leno,60.34375,81.13037109,60.34375,63.31787109,49.65625,59.58837891,67.46875,49.17919922,78.15625,61.81494141,72.8125,75.98144531,55,57.890625,47.875,34.62304688,47.875,32.84179688,47.875,13.24804688,24.71875,62.76123047,30.0625,45.03222656,35.40625,36.20947266,60.34375,31.25537109,69.25,38.51953125,67.46875,40.27294922
65,Pierre-Emerick Aubameyang,Saved,Hugo Lloris,81.625,91.91601563,65.875,83.79492188,52.09375,59.95458984,34.375,63.61523438,69.8125,83.85644531,40.28125,81.42626953,44.21875,61.80029297,46.1875,30.33105469,46.1875,26.39355469,48.15625,6.736816406,54.0625,44.23535156,61.9375,38.45214844,59.96875,32.51513672,34.375,28.17773438,26.5,30.0234375,38.3125,43.98925781
66,Sergio Leonel Agüero del Castillo,Goal,Kepa Arrizabalaga Revuelta,147.25,6.73828125,94.75,163.4179688,98.5,114.7265625,113.5,107.4609375,79.75,136.9335938,113.5,197.4609375,128.5,118.9453125,76,65.625,42.25,38.84765625,19.75,30.99609375,79.75,110.6835938,27.25,76.11328125,83.5,50.7421875,61,69.140625,34.75,79.98046875,121,208.828125
67,Troy Deeney,Goal,Thibaut Courtois,45.59375,161.5561523,63.78125,125.465332,72.875,86.20117188,85,86.390625,115.3125,117.1767578,133.5,147.7734375,78.9375,86.29589844,81.96875,49.96826172,85,50.015625,88.03125,25.81298828,88.03125,19.75048828,63.78125,28.46533203,81.96875,49.96826172,88.03125,44.00048828,66.8125,28.51269531,88.03125,22.78173828
