,goalkeepers,url,pen_taker,outcome,off_target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
46,Tim Krul,/en/matches/db192bf5/Manchester-United-Norwich-City-January-11-2020-Premier-League,Marcus Rashford,Scored,,11.84375,254.68505859375,76.71875,207.04248046875,130.78125,170.04345703125,163.21875,175.95654296875,157.8125,235.3408203125,103.75,315.58984375,147.0,175.703125,168.625,78.728515625,174.03125,68.00048828125,179.4375,14.0224609375,92.9375,115.3896484375,98.34375,99.25537109375,136.1875,72.8154296875,211.875,84.810546875,228.09375,128.31396484375,217.28125,90.30126953125
47,Ederson,/en/matches/ffb4946c/Aston-Villa-Manchester-City-January-12-2020-Premier-League,Anwar El Ghazi,Scored,,78.0,196.40625,51.75,143.49609375,74.25,117.59765625,108.0,114.375,141.75,159.90234375,183.0,190.546875,93.0,117.890625,78.0,61.40625,74.25,61.34765625,66.75,23.73046875,21.75,146.77734375,29.25,101.89453125,51.75,64.74609375,100.5,58.0078125,119.25,77.05078125,145.5,96.2109375
48,Paulo Gazzaniga,/en/matches/46697bf6/Watford-Tottenham-Hotspur-January-18-2020-Premier-League,Troy Deeney,Missed,,135.3125,255.3955078125,83.75,188.96484375,97.8125,165.7470703125,135.3125,171.0205078125,219.6875,223.9013671875,233.75,261.62109375,116.5625,166.0400390625,102.5,76.7578125,97.8125,67.3095703125,93.125,15.673828125,32.1875,174.0966796875,41.5625,132.0556640625,60.3125,80.7861328125,140.0,72.65625,182.1875,110.8154296875,210.3125,148.7548828125
49,Alex McCarthy,/en/matches/9d6674f8/Southampton-Wolverhampton-Wanderers-January-18-2020-Premier-League,Raúl Jiménez,Scored,,111.21875,250.14404296875,102.03125,236.21923828125,79.0625,176.1416015625,115.8125,158.3408203125,175.53125,196.02392578125,198.5,256.1015625,97.4375,167.2412109375,92.84375,79.88818359375,92.84375,75.29443359375,92.84375,29.35693359375,37.71875,157.12060546875,33.125,129.486328125,56.09375,83.90771484375,129.59375,75.86865234375,157.15625,117.64306640625,170.9375,159.2021484375
50,Aaron Ramsdale,/en/matches/2550abdc/Norwich-City-Bournemouth-January-18-2020-Premier-League,Teemu Pukki,Scored,,88.625,257.931640625,104.0,232.546875,83.5,165.6015625,119.375,161.037109375,165.5,233.5078125,227.0,285.71875,104.0,165.921875,109.125,94.251953125,98.875,94.091796875,134.75,38.27734375,83.5,139.9765625,83.5,119.4765625,73.25,93.69140625,139.875,89.607421875,139.875,125.482421875,150.125,125.642578125
51,Nick Pope,/en/matches/bd102a2b/Burnley-Leicester-City-January-19-2020-Premier-League,Jamie Vardy,Missed,,43.0,303.046875,91.375,244.677734375,172.0,165.3125,215.0,176.734375,236.5,230.8203125,182.75,283.73046875,193.5,171.0234375,209.625,90.650390625,209.625,85.275390625,204.25,26.06640625,102.125,148.095703125,134.375,110.974609375,172.0,84.6875,247.25,96.61328125,274.125,134.658203125,274.125,193.783203125
52,Dean Henderson,/en/matches/ae7cb0c2/Sheffield-United-Manchester-City-January-21-2020-Premier-League,Gabriel Jesus,Missed,,144.5,166.2890625,110.46875,128.63232421875,42.40625,31.66259765625,45.5,31.7109375,110.46875,128.63232421875,144.5,172.4765625,107.375,94.552734375,60.96875,50.51513671875,57.875,47.373046875,33.125,22.236328125,125.9375,85.5615234375,73.34375,63.08349609375,73.34375,41.42724609375,57.875,53.560546875,101.1875,72.7998046875,95.0,85.078125
53,Bernd Leno,/en/matches/38d058ad/North-West-London-Derby-Chelsea-Arsenal-January-21-2020-Premier-League,Jorginho,Scored,,723.125,845.908203125,495.78125,660.48095703125,450.3125,402.1142578125,329.0625,415.3759765625,101.71875,578.54248046875,192.65625,852.77587890625,389.6875,416.3232421875,238.125,171.455078125,222.96875,156.06201171875,101.71875,32.91748046875,465.46875,402.35107421875,465.46875,281.10107421875,313.90625,157.48291015625,132.03125,169.79736328125,147.1875,260.9716796875,147.1875,427.6904296875
54,Darren Randolph,/en/matches/354b03ac/Leicester-City-West-Ham-United-January-22-2020-Premier-League,Ayoze Pérez,Scored,,29.75,192.91796875,76.875,161.029296875,91.375,121.380859375,102.25,117.92578125,73.25,153.72265625,33.375,192.974609375,95.0,121.4375,113.125,63.720703125,113.125,56.470703125,131.25,24.12890625,76.875,103.029296875,73.25,84.84765625,98.625,59.869140625,127.625,67.572265625,127.625,89.322265625,127.625,100.197265625
55,Kasper Schmeichel,/en/matches/354b03ac/Leicester-City-West-Ham-United-January-22-2020-Premier-League,Mark Noble,Scored,,147.65625,196.93212890625,120.3125,191.0361328125,136.71875,153.01123046875,180.46875,148.22607421875,240.625,192.916015625,284.375,220.943359375,153.125,147.798828125,136.71875,70.97998046875,136.71875,76.44873046875,120.3125,26.9736328125,49.21875,124.30029296875,76.5625,102.8525390625,103.90625,75.93603515625,164.0625,71.4072265625,191.40625,93.70947265625,180.46875,104.47607421875
